UserName,Sentiment,Lemmatized
1993,Extremely Negative,"crazy supermarket employee tell fist fight threaten shopper stock 
 
  zombieapocalypse"
1994,Neutral,close school county april day pass grocery store hear shelf store bare tompkinscountyny
1995,Neutral,nydailynews u s stock exchange experience historic drop march despite trillion cash infusion federal reserve coronavirusoutbreak coronavirus food foodindustry economic federalreserve foodinstitute
1996,Neutral,grocery store frozen vegetable okra iâve relate vegetable moment coronavirus
1997,Negative,"wegmans shoprite retailer limit purchase coronavirus panic buying hit lehigh valley 
"
1998,Negative,go grocery store today normal grocery people crawl yell overall extremely rude staff expect go forward iâm go root virus
1999,Negative,go grocery store today panic shopping big walmart open register coronavirus
2000,Negative,"
 allay concern resident rush store panic buy ministry release statement citizen stock available 
  coronaviruspandemic coronaoutbreak qatar qatarliving qatarnew"
2001,Neutral,country live close expect supermarket pharmacy week start tomorrow
2002,Extremely Positive,"budget stock food potentially have pantry feed week month long think afford stock 

 help buy extra donate food bank asap"
2003,Extremely Negative,"time act selfish buy half grocery store cause panic 

  coronavirus togetherwearebulletproof"
2004,Positive,government control sport concert college u leave house deplete toilet paper food control travel easy panic hysteria complete control world virus freedom go overnight coronaviruspandemic
2005,Positive,"live italy currently allow leave house supermarket witness lot rudeness selfishness people pray people realize important thing empathy helpfulness 

  corona"
2006,Extremely Positive,grocery store baby wipe go save baby wipe baby coronavirus da baby coronapocalypse coronaoutbreak
2007,Positive,"friday evening funny 
  seriously want thank healthcare grocery store service industry worker work hard 
 
  fridayvibe 
 "
2008,Neutral,  settle people see grocery store traderjoe need post door
2009,Extremely Positive,covid shop online home delivery save rakuten earn cash love get cash think join free spend
2010,Positive,italian city farthest sea day local supermarket get fresh fish seafood today lobster italy
2011,Neutral,remember burrito chain w stock properly contain e coli w change tune time gov close fast food mandate sick leave cc chipotletweet
2012,Positive,wife come grocery store rice coconut good survivor
2013,Negative,expect get email local grocery store express pick experience high usual demand norm time
2014,Positive,tommorow bar close belgium tonight organize lockdown party reduce beer price crazy insane coronaoutbreak
2015,Negative,friday nightmare supermarket employee people panic buy day duterte announce ncr lockdown cart fill w sort noodle guess metro manila resident pancit canton bihon diet month
2016,Negative,"item toilet roll tin food hand sanitiser disappear supermarket shelf 

 gov tell supply chain robust warn panic buying create problem 

 expert join talk issue 

"
2017,Positive,switzerland retail post bank grocery store convenient outlet publ transport operate normal protection worker customer covid race track grunliberale shouldn t popular party grit
2018,Negative,information price gouging request paper complaint form send mail file complaint attorney generalâs consumer protection division online coronavirus panicbuye kansa
2019,Extremely Negative,"people panic buying fall âworld go madâ phase 

 weekâs shopping food get extra bit overboard like iâm see online"
2020,Negative,scene inside local supermarket scary coronaviruspandemic fallout
2021,Negative,trader joeâs retail space work hour half wait enter store coronavirus
2022,Extremely Positive,gas price drop airline ticket practically free fun cancel coronavirus panic fml
2023,Negative,base report grocery store report iâm doom wife doom day prep usually keep food
2024,Negative,hope control consider million live fear untreatable disease life not supermarket handwash toilet roll pasta maybe wake human deserve
2025,Extremely Positive,go shop iâm glad like coronavirus donât know expect safe sorry week order wine online box wine
2026,Negative,  break ontario chief medical officer dr david williams say avoid non essential travel outside canada immediate suspension gathering people risk
2027,Negative,"go supermarket 

 food 

  people max 

 easy 

 wrong dweebs live 

 "
2028,Negative,continue spread travel industry take hit major airline drop ticket price significant amount
2029,Neutral,"coronavirus easyjet waif change fee flight cancel 

 flexible policy apply âuntil noticeâ 

"
2030,Negative,"global spread pandemic accompany sluggish market demand limit growth memory price nand flash price potentially go decline 

 cc vladsavov natashakhanhk iankingsky leenarao scurtsy"
2031,Positive,"  covid flip physical shopping come ecommerce ommerce pick online e retailer leverage situation advantage sensible thing 

"
2032,Extremely Positive,  rte rtenew clear concise brilliant information supermarket lunchtime treat like holiday child run play aisle parent need personal responsibil
2033,Extremely Negative,"food space hoard tin tuna extra long roll recycle toilet paper downunder loorollshortage 
 
 
 
 tbh buy panic ourâ  "
2034,Negative,tulkoff commit take necessary safety precaution limit spread covid temporarily suspend retail sale online store apologize inconvenience cause update status store
2035,Negative,chaos grocery store see guy buy liter diet pepsi
2036,Neutral,"isnât shopprsdrugmart 

  shoppersdrugmart hike price belief amid coronavirus pandemic toronto ontario canada shoppersdrugmart tp coronaviruspandemic 

  blogto 

 "
2037,Extremely Negative,  srilankan make personal supermarket home buy market rice buy near local supermarket ask say people bring kilo fear seriously case act like infect stupid well
2038,Negative,honest worried visit grocery store see people panic everybody sanitizing wipe hand begin fear coronavirus tystaketoday
2039,Positive,day consumer lending training well cancel tomorrow
2040,Extremely Positive,  cityofdalla take person party grocery store ban large gathering start thank virus airborne stay surface start clean city like china south korea dallas dallas
2041,Extremely Positive,"concern help support local business online shopping platform 
  coronaviruspandemic coronavirus bellingham pnw localbusiness shoplocal"
2042,Extremely Positive,"covid thing alter shopping habit interesting article consumer behaviour change thank technology 

  shopping technology fintech 

"
2043,Extremely Negative,amazon warehouse worker die stop ship stuff virus transmit delivery wonder probably order stuff avoid go store consumer therapy thing
2044,Extremely Negative,time crisis like coronavirus canât believe ppl exploit public mark price mask sanitizer ridiculous govern money
2045,Negative,note tho hell guy have work casually deal return customer retail workplace like genuinely make sense close shop store supermarket coronavirus
2046,Extremely Positive,"  dexcom integration enable insight welldoc bluestar apple rumor video workout app 

 consumer survey suggest decline digitalhealth engagement iran app pull play store malware accusation 
 ht"
2047,Negative,"psa despite pandemic declaration increase case reason panic stock food tissue 

 calm follow guideline lay kkmputrajaya practice good hygiene avoid large public gathering unwell"
2048,Extremely Negative,hey realdonaldtrump create chaos misinformation people easily sick stress coronavirus leave supermarket fear usa government stop joebiden berniesander
2049,Extremely Positive,people ask self isolate theyâre experience big lifestyle shift week mention company offer fast home delivery like amazon home entertainment like netflix see increase stock price thread
2050,Neutral,see parking lot neighbourhood grocery store
2051,Positive,ve stick covid story place include share price reaction datum previous pandemic product cost estimate update coverage continue vantageanalysis evaluatepharma data coronavirus
2052,Negative,  coronaviruspandemic coronaoutbreak trumptheworstpresidentever coronavirus berniesander berniesander drop revolution joebiden lead ralph grocery store sherman oak khou msnbc nygovcuomo
2053,Extremely Positive,"stock supply family 
 easy way ensure stock access food 
 
  coronavirus coronavirusaustralia 
"
2054,Extremely Positive,"grocery store want grab thing weekend 

 husband ok 

 itâ know tv good solid hour grocery store jam pack thereâs go lot money big corp tonight"
2055,Positive,"sell face mask wholesale retail price dm interested 
 mind health corona virus coronavirusinkenya coronaviruspandemic coronavirusupdate coronasafety facemaskforsale facemasksinkenya facemaskinnairobi facemask facemask"
2056,Extremely Positive,"absolutely beautiful day portstewart today 

 need support local independent business portstewart shop locally far reach effect community 

 soon portstewart"
2057,Negative,elderly people disproportionately affect virus sign help deliver food resource people hard time get time panic canceleverythe atlanta
2058,Extremely Negative,place youâre go catch germ grocery store self distancing ugh hoarder ididnotbuytoiletpaper
2059,Extremely Positive,ve see high price hand sanitizer coronavirus pricegouge airline cruise line wedding venue let reschedule right distinguish myth truth join live fb consumer q
2060,Positive,report retailer manufacturer collude hoarding intention increase price consumer good advantage covid case competition authority kenya info cak ke
2061,Negative,  furlotte j propose stop people hoarding tp prefer high price poke pointed stick lordoftheflie
2062,Negative,"people stock food hygiene product remind building loan scene wonderful life 

 fear panic drive people need 

 time difficult let try need 

 

 "
2063,Neutral,retailâs covid response scan sanitizer store use
2064,Positive,donât overbuy supermarket remember weâre boat donate non perishable local food bank school close sure child depend school meal eat future noonegoeshungry
2065,Extremely Positive,"remember price give help freely pomp pr 

 group deserve community 
  coronapocalypse"
2066,Positive,doubt intelligence level mankind grocery store today tomorrow coronaoutbreak coronapocalypse coronaviruspandemic tuckercarlson
2067,Neutral,"  n cont d list contact date w plan 
  topgolf 
  maryland lottery 
  grocery store 

 contact wife w covid info plan 
  commercial health plan doyourjob 

 publichealth coronavirus"
2068,Positive,"supermarket shelf expect real soon 
 good time stock 
  coronavirusinkenya coronaviruspandemic coronavirusupdate coronainkenya"
2069,Extremely Negative,"crude oil price rise slightly friday sentiment remain weak global demand evaporate corona virus pandemic 
  windsorbroker fx forex oil"
2070,Extremely Negative,"coronavirus country president lower airline price gas price school fuck 
 covid president"
2071,Extremely Positive,good johnkeellsgroup actually supermarket srilanka concern safety lka srilanka
2072,Extremely Positive,"folk stock buy stuff deposit local food bank 

 thank 

  coronavirusuk panicbuye shop toiletpaper foodbank uk"
2073,Positive,month old chief balloon sputter panic fill supermarket like good analogy sport world right
2074,Extremely Negative,"grocery store entirely sell meat tonight iâve force sheer necessity tonightâ chili con carne organic grass feed veal 
 tbh iâm try find downside 
  coronaproblem stockpilingtwat"
2075,Neutral,"âbuy toilet paperâ âstock foodâ âkeep eye newsâ 
 long gamestop open animalcrossing newhorizon coronavirus animalcrossingnewhorizon"
2076,Negative,  nkdarin minvws nl day italy panic supermarket start like italy day ago italy lesson learn stringent measure immediately close school immediately minpre minvws covi
2077,Extremely Negative,  robjetten ivanengelshoven immediately close school stop supermarket panic ask people stay home afraid forget culture long long time learn lesson italy coronavirusnl cov
2078,Negative,chillin panic buying cuz virus go heb early laundry detergent place pack feel place hold bottle soap cart food chill
2079,Extremely Positive,thank self quarantine home great time online shopping eat lot gain weight coronavirus coronaviruspandemic selfisolating selfquarantine
2080,Positive,feel like massive conspiracy create supermarket chain dry good company ploy increase quarter revenue
2081,Extremely Negative,grocery store try dodge idiot panic buyer think kevinbacon animal house coronaoutbreak panicbuying
2082,Extremely Negative,supermarket staten island toilet paper paper towel potus supermarket suffer supply citizen base buying alysiastern coronaoutbreak nycmayor nygovcuomo panicbuye
2083,Positive,toilet paper urgent necessity right like stock food water toiket paper
2084,Extremely Positive,go brave walmart bad employee work hard sure stuff stay stock get need spend food penny week dontbeanasshole
2085,Negative,survive wuhan virus stock month worth toilet paper paper towel medical glove medical supply food water cut contact boomer ocd wash hand quit job agoraphobe
2086,Neutral,drone come handy online shopping delivery coronavirus
2087,Positive,online grocery shopping thereâs hand gel available amazon ebay find coronapocalypse coronaoutbreak coronaviruspandemic coronavirusupdate
2088,Neutral,ok admit fuck scared college student work grocery store ok class move online b c privilege own laptop pay internet worried job
2089,Positive,extra considerate local grocery store clerk home stick food coronapocalypse
2090,Extremely Positive,perfect timing opportunity halt intl trade low oil price come global recession lebanon affair order stabilize ll exchange rate boost local substitute collaborate diaspora financial support beirut lebanon
2091,Positive,"hey lady 
 sale classy heel affordable price 

 nationwide delivery short time possible dm 
 
  buhari coronaviruspandemic coronaoutbreak"
2092,Positive,overhear supermarket patron unconcerned safety measure buy wholeheartedly infect line laugh offer infection dramatic effect slow spread flattenthecurve uk
2093,Negative,"easyjet email customer inform change charge apply consumer wish change travel plan coronavirus fear 

 contact expert consumer advisor enquiry issue"
2094,Extremely Negative,actual panic attack germ plane people cheap price matter
2095,Positive,classy toronto toronto
2096,Neutral,"grocery store right 

  coronapocalypse panicbuye coronavirus coronaviruspandemic coronaoutbreak"
2097,Extremely Negative,demand food system socialize way pathogen dangerous keep emerge place require reintegrate food production need rural community
2098,Extremely Positive,grocery store pick thing today insane hope enjoy free preview communism feelthebern coronaviruspandemic presidentbiden maga marchsadness
2099,Neutral,get grocery store mean weâll eat kind exotic rice iâve hear latetothegame
2100,Positive,grocery store hour wait line friend guy line buy ice cream wrap individual package troll hop tweet story
2101,Neutral,"supermarket situation france 
  coronavirus lockdown 
  france"
2102,Positive,  cmclymer work retail year umpteen customer horror story one remember kind one people store blame hoard toilet paper can corn people work riskin
2103,Extremely Positive,"like clear concise info article highlight nicely act frenzied fashion abide misinformation helpful add extra stop panic buy food local shop pls xoxo 
 "
2104,Negative,finally set work home office get fight toilet paper grocery store today iâm finally right frame mind pandemic coronapocalypse toiletpaperapocalypse
2105,Extremely Positive,"mom send picture toilet paper shelf grocery store truly truly donât understand hoard stuff entire household suddenly get explosive diarrhea 
 "
2106,Extremely Negative,doom day shopping forget donate local food bank lot low income job precarious think scared afford panic shop coronavirus
2107,Neutral,  albertsamaha buzzfeednew supermarket early rice pasta panicbuye sainsburys rice pasta coronavirus
2108,Negative,sneeze line grocery store lady wear glove mask stare jump point yell âcovid covidâ like bitch get allergy coronatime corona
2109,Negative,lady prepping grocery store box wine seriously maybe food alcohol
2110,Negative,"fam youâre wfh today representative today demand pass familiesfirst covid bill 

  free testing 
  day pay sick leave 
  month pay family leave 
  expand unemployment insurance food security 
  medicaid fund 

 "
2111,Negative,"long queue local asian grocery store huge ass line shelf scramble dry storable food 

 kwani mimi ni nini sijaambiwa 
 "
2112,Negative,"representative today demand pass familiesfirst coronavirus bill include 

  free testing tho donât test 
  day pay sick leave 
  month pay family leave 
  expand unemployment insurance food security 
  medicaid fund 

 "
2113,Negative,  zoom tell website wrong havenât increase price yesterday month yesterday month today pricegouge crisis isnât cool
2114,Negative,reserve hour supermarket opening time elderly day week idea chance shopping panic buyer swoop stoppanicbuye
2115,Negative,"youâre go panic buy strip shelf bare basic food item leave food bank collection point 

 people donât disposable income available fill cupboard 

  corona coronavirus"
2116,Positive,"group acton northacton know elderly disabled immunocompromise car definitely supermarket 

  coronavirus"
2117,Extremely Negative,weâre go to rude grocery store employee control store run staff work time pay sick leave insurance expose people day coronavirusmichigan
2118,Extremely Negative,  oil vs coronavirus gulf economy fare double shock fall oil price bring spectre recession gulf effort diversify economy derail oilpricecrash
2119,Negative,shop weekend buy usual weekly shop panic buy way incline buy additional food item afford donate food bank foodbank panicbuye trusselltrust birmingham live
2120,Negative,ireland produce food export stop stock pile covid isnât go interrupt stocking shelf think elderly ur community need help donât luxury get shop conveniently
2121,Positive,decide use grocery store pickup kroger safe old people employee
2122,Positive,possible impact food system develop country base ebola experience expect rise food price supply transport issue possible disruption farm activity order stuff important people margin
2123,Negative,psa not rude grocery store worker store product control thing frustrated
2124,Negative,  coronavirusupdate nhl season suspend world figure skating championship montreal cancel indoor activity cancel pool library close toilet paper supermarket
2125,Negative,"kinda understand people stock food understand people stock toilet paper check amazon bidet leave people stock toilet paper buy bidet amazon 
  coronavirus coronapocalypse"
2126,Neutral,grocery store french fry onion legit thing available coronaviruspandemic coronaoutbreak coronavirusupdate coronavirus covid
2127,Positive,"  toiletpapercrisis toiletpaper toiletpaperpanic toiletpaperemergency go small organic grocery store food get old toilet paper grocery shop new activity lot americans roll piece 
  coronavirus"
2128,Negative,mga adik sa shopee lazada online shopping wag muna order ng non important item o kaartehan hygiene healthcare reason prioritize actually important item vanity plain add cart boredom coronaviruspandemic coronavirus
2129,Positive,"local tesco example area shop include baby isle pain relief dry food tin frozen food werenât overly stock 
 letâs hope rest havenât stock pile donât quarantine dontbeselfish uk"
2130,Neutral,you stock can food ama stock frozen pizza coronavirus
2131,Positive,supermarket barcelona sakuraâs innocent reaction youtube barcelona catalunya espanacoronavirus
2132,Positive,"govt buy oil drive price good day month say help americans like charge tariff 

 freak idiot"
2133,Positive,go remember donate food bank people money stock donatetofoodbank
2134,Positive,"âdid grocery store buy apple pie ice cream â 
 dad âno â 
 âare certain â 
 dad âno didnât buy apple pie ice cream didnât look like buy fruit â 

  shittheoldmansay movingarijobena"
2135,Extremely Positive,"empare protect wanna body sanitizer price sky rocket lol 
  coronaoutbreak coronavirusupdate ghanawedey coronavirusupdate coronaoutbreak ghana jayelectronica"
2136,Negative,panic grocery store tonight clearly go shop hurricane hunkerdown hurricanecorona coronavirus
2137,Positive,"local food bank go high demand foreseeable future donate 

  donate kindnessmatter"
2138,Neutral,everybody extra corona virus supermarket pack line go way aisle wash hand apocalypse
2139,Negative,"come home seat maxi overhear driver tell seat passenger maccoe de middle 

  xyz supermarket toilet paper sell right 

 "
2140,Extremely Negative,  uncle hong kong call ask situation tell stock food situation china bad eventually bad say typist penampang
2141,Positive,  head supermarket fridge hope thereâs shelf foodbankfriday
2142,Negative,work grocery store past couple day come accept long fear true human innately stupid panicbuye hamont
2143,Extremely Positive,work grocery store kind staff customer struggle help panic scare shit people remember rely food close screw kind wash hand coronavirus
2144,Extremely Negative,year retail see like today store guy know work popular grocery store thank crew endure today food damn guy damn
2145,Neutral,stock coronavirus food supply buy covid outbreak
2146,Positive,youâd like contract head near grocery store stock right
2147,Neutral,"dirty bird grocery store buy dozen jar mayonnaise leave ask can tuna fish go to lube add olive oil good stretch remain mayo go far 
  prepper coronavirus stretching"
2148,Negative,  xmas come early close supermarket shelf army street coronaoutbreak football cancel month coronovirusuk family month fooddeliverie soapandwater amycolenew shobnagulati
2149,Positive,"need panicbuye get kwiky hand sanitizer isopropyl alcohol wipe available canadian retail store 
  coronavirus canada"
2150,Positive,tfw accidentally buy clear soda pretend sparkle water grocery store nightmare
2151,Positive,line grocery store go way wall normal grocery bread toilet paper thereâs barely meat frozen food shave raid itâ like town thereâs single case coronavirus
2152,Neutral,occur probably ought stock cat food cat litter coronavirus
2153,Negative,iâve see teala dunn sad snapchat bc brandy melville close bc coronavirus ahahahah canât supermarket bc iâm quarantine funny coronaoutbreak
2154,Negative,work hr week donât money stock food iâm petrify run food government think itâ acceptable pay apprentice â£ p hr liveable house pay canât feed coronavirus
2155,Extremely Negative,add panic anxious heart scott coworker sister law work pentagon say week point sale cease mean purchasing store food gas place month terrify
2156,Neutral,"recent virus lack toilet roll available sell premium toilet roll 

 dm price"
2157,Extremely Positive,charge exorbitant price sanitizer mask itâ need hour peopleâs safety isnât business opportunity itâ condemnable deed let contribute alleviate cause cause coronavirusinindia
2158,Positive,"iâve see thing pack grocery store aisle god help 
  coronapocalypse"
2159,Neutral,grocery store employee today
2160,Neutral,go to start fund instead go work wait line grocery store
2161,Extremely Positive,government vietnam respond coronavirus pandemic offer free healthy meal people quarantine area free grocery necessity entire neighborhood lockdown
2162,Extremely Negative,"start apocalypse 

 money food catastrophic death barren street travel halt world government act unilaterally panic 

  coronavirus coronaviruspandemic 

 need real leadership"
2163,Extremely Positive,"  urgent 

 w hysteria iâm anxious partner wonât home nm wait til 

 need week safe airline price shoot 

 share help 

  transcrowdfund 

 cash venmo bullshetvik"
2164,Neutral,"covid force use online video conference 

  class 
  meet 

 upcoming 
  shopping 
  hangout"
2165,Positive,"grocery store shelfs bare bet health nut love process food shelf life 

  coronapocalypse grocerystore panicbuye"
2166,Negative,check find x carex unicorn magic antibacterial hand wash gel anti bacterial flu ebay uk antibacterial handgel gel coronavirus protection shop online shopping
2167,Positive,check find carex antibacterial hand wash gel anti bacterial flu fun edition ebay uk antibacterial handgel gel coronavirus protection shop online shopping
2168,Negative,check find carex antibacterial hand wash gel work second anti bacterial flu ebay uk antibacterial handgel gel coronavirus protection shop online shopping
2169,Neutral,"husband wait line grocery store rome 
  italia lidl"
2170,Neutral,eat stock pile food start eat inventory coronavirus
2171,Negative,herd mentality make want stockpile unnecessarily bear mind pasta leave supermarket shelf morning italian ill informed ppl beat check cdcgov website buyitalian
2172,Neutral,whatâ dr birx
2173,Neutral,follow line local grocery store begin end coronapocalypse coronaviruspandemic coronacanada
2174,Extremely Negative,  safeway emergency safeway raise price store kind disappointing
2175,Negative,"lrt know covid need ppl start consider digital version 

 cashless cash 
 online meeting class 
 online shopping 
 cloud storage 

 unfortunately afford use em maybe covid go let focus"
2176,Positive,great grocery store bailout coronaviruspandemic coronavirus
2177,Positive,"relief come unaffected land veronica bring supply home alabama today moron buy 
 price post later bet pay yrs worth bama tuition w whatâ suitcase toiletpaper cloroxwipe"
2178,Extremely Negative,"yo mama nasty covid 
 yo mama dumb think cdc tv channel 
 yo mama dirty get coro 
 yo mama dumb go grocery store 

 yo mama dumb socialdistance wait smart 

  coronasnap"
2179,Extremely Positive,"voltas ton split ac online good price india flipkart free shipping cash delivery well offer 

 click 

  flipkart volta airconditioner offer acmodel"
2180,Extremely Positive,"realme pro price india good price realme pro rs march read specification expert review offer flipkart 

 click 

  flipkart realme price specification review mobile"
2181,Negative,  stubhub offer cancel event ticket price different ticket savvy decision customer remember business end
2182,Positive,  reuters common not ruin weekend price month plz oilprice coronavirus coronaviruspandemic coronaoutbreak
2183,Neutral,point view u live la itâ pour pollen count high know drive ridiculous rent price force public place despite have fear ppl r sniffling sneeze uâ allergy early stage ofâ coronavirus
2184,Neutral,work grocery store dept online shopping weâve exceptionally busy bc covid
2185,Positive,covid fact canât catch shop online â   welcome panic buy anytime like
2186,Extremely Negative,reason canât shit online amazon cause party vendor hike price obscene obnoxious amount see damn lysol foh iâll concoct cleaning supply coronavirus
2187,Neutral,"mother copd watch foxnew day say go grocery store today ask insist get sue foxnew 
  coronaoutbreak flattenthecurve covid"
2188,Negative,nj shoprite actually foodtown want cause panic shopping spree diet soda progresso soup baby food
2189,Extremely Negative,local supermarket morning staff close isle saftey yesterday shopper take stuff shelf stock milk rice toilet paper bread pasta bonker cronovirus
2190,Positive,"iâm pretty calm person donât usually panic 

 stateofemergency coronapocalypse grocery store"
2191,Negative,meat aisle local grocery store completely revert infancy drink milk week
2192,Negative,canadian gov suggest people stay canada march break leave country say force airline lower price travel canada
2193,Positive,spend âself quarantineâ day home clean door knob count stock food essential take break watch uncut gem good movie watch news heighten anxiety
2194,Neutral,apple retail store close covid
2195,Neutral,cheese go stock
2196,Extremely Positive,great tip stay coronavirus safe shop groceriesâin store online
2197,Positive,consider risk outbreak time stock supply include food medicine amp cleaning supply sure counter medicine amp medical supply treat fever amp symptom
2198,Extremely Positive,"excellent talk doctor reg schedule apt regard coronavirus people read guideline state 

 stay away 

 avoid crowd like grocery store workplace 

 eat home good 

 wash hand hot water soap second"
2199,Extremely Positive,switzerland find form online let neighbour know help shopping daycare dog walking drive collect medicine etc stick building s door ppl need help contact
2200,Positive,time stock casket burial plot love one start price gauging stock food prepare lockdown
2201,Positive,increase petrol price bold modiji ppl sit home self quarantine contain virus petrolprice
2202,Positive,"time see supermarket gaza wasnât coronavirus 

 maybe americans able relate life blockade like canât find basic necessity family"
2203,Negative,panic buying swamp supermarket tonight new zealand announce strict border control world queensland new case coronavirus emerge g chumbley
2204,Extremely Negative,people stock pile s wrong maybe nice food household supply donate elderly neighbor isolate lonely frightened shopping
2205,Negative,usa people stab package water bottle grocery store australia shortage toilet paper fiji chili sauce isle coronavirus
2206,Neutral,sign time online shopping site crash delivery slot area week s time real issue people self isolate week come supermarket ramp thing
2207,Neutral,mientra tanto en el pinar supermercado los kabes coronavirusenuruguay covid
2208,Positive,live tv work online garden take care animal field travel rarely shop village nearby probably safe nowadays
2209,Positive,good morning
2210,Positive,january friend think go colombia april flight time price come bcos
2211,Negative,"  roncaruther ron like hear 

 stupid stock food supply 

 think people watch movie 

 coronavirus deni unlike climate change deni"
2212,Extremely Positive,"coronavirus affect point 

 head stock food toilet paper head school closure 

 stay safe healthy"
2213,Negative,"toilet paper can food explain coronavirus panic buy 

 donât connection toilet paper covid professor public health say âweâre poor learn good forgettingâ 
"
2214,Positive,current dream supermarket brother wonât let cause doesnât want expose risk lockdown
2215,Extremely Negative,"govt far provide appropriate medical facility need see gravity situation govt simplestep exempt d tax frm sanitizer mask dn t scare check know abt virus 
  coronavirus 
 "
2216,Negative,bulk buy toilet paper face masks food n shit make store stock
2217,Neutral,"know preventive measure coronavirus 
  coronavirus 
  coronavirusinindia 
 immunity precaution cure sanitizer watch live 
  abpnews 
 
  indiatvnews 
 
  republic bharat republic"
2218,Negative,"don t panic folk dm price 
  coronavirus coronauk"
2219,Negative,explain need stock like go inside fallout shelter find regular food family dog food isle wtf people coronavirusoutbreak coronavirus
2220,Extremely Negative,know kinda fear self isolation coronavirus literally end blow credit card shit ton online shopping bored lol lisa get destructive bored like husky ha
2221,Positive,"panic coronavirus panic people panic coronavirus 
  chillout 
  notoiletpaper 
  nofood"
2222,Extremely Positive,"  coronavirus coronauk panicbuye 
 usual monthly shopping online store tp buy roll cheap stuff ppl tp feed family quench thirst knock 
 protect coronavirus 
 "
2223,Neutral,"  coronavirus globalpandemic 
 secret document reveal coronavirus category intel personnel stock month food timcast thoughtsfromthecenter"
2224,Negative,midst covid panic go chinese food place racist like chinese food go to way try change mind fuck
2225,Negative,covid anxiety remember food bank people rely wonât able stock self isolation box local supermarket yesterday
2226,Extremely Negative,"fuck people internet try fast buck sell isopropyl alcohol ridiculous price crisis 
  fuckyou 
  coronavirus"
2227,Negative,"iâm screw atm norwayâ lockdown fly suppose go uk week grandad live work 
 canât work flight price bomb iâm thinking vike stock lot"
2228,Neutral,quarantine mean time stream social medium phone app video game homeworker digital conference shop online permanent effect covid tip balance away physical world digital
2229,Neutral,leave use toilet paper price pandemic panicbuye toiletpaper coronarovirus liberalism maga kag buildthewall drainthedeepstate nationalemergency recallnewsomâ  
2230,Positive,work retail far store issue statement acknowledge recognize covid client solid people work regular basis elderly
2231,Extremely Negative,fact ppl panic buying empty supermarket shelf joke disgrace selfish stupid yes suddenly b come ill need self isolate jesus week grip ukcoronavirus coronavirus
2232,Extremely Negative,pandemic affect aspect global food system reveal weakness write make case govts respond sequence policy response address supply shock demand shock second
2233,Neutral,"business consumer behavior change permanently covid 
 ex remote work house hunt online online grocery 
 explain reasoning 
  covid coronavirusupdate 
  coronavirus"
2234,Extremely Negative,kinda glad indian public react like country hoarding panic buying essential million poor country buy ration daily starve begin hoard stash food
2235,Neutral,ontario insist plenty food shopper rush stock covid
2236,Negative,necessary stock thing like hand cleanser food cleaning supply don t worry face mask bottle
2237,Negative,  panic cause people value toilet paper food supply instead limited food sanitizer instead limit toilet tissue
2238,Positive,expect item stock surprised overall food booze underwear available â coronavirus walmart
2239,Negative,"key world domination 
  buy stock dog cat food 
  grocery store 
  fill cart dog cat food 
  run like nutter maybe argument 
  video post social medium 
  rich 
  coronapocalypse"
2240,Negative,"guy today walmart today see cart 

  loaf bread 
  bag dog food 
  can soup 
  bottle salsa 

  sure panic buying covid"
2241,Extremely Positive,  fiona kinghorn husseyruth beautiful ruth wellbeing enhance supermarket conversation lovely lady setup facebook group help elder live bungalow help shopping support spirit
2242,Negative,people panic buy stuff day food bin overflow week coronavirus
2243,Neutral,"batten hatch foreseeable future know fact long stock pile decent crunchy peanut butter go to unscathed 

 armageddon spread 
 

  coronavirus food"
2244,Extremely Negative,know hate covid panic buy ppl leave enclave go ethnic shop buy certain type food u know type food sell group
2245,Positive,shop online go option coronapocalypse coronavirus
2246,Extremely Negative,hysteria store unfold think people start online shopping amazon site avoid line people covid blow coronavirus onlineshopping emptyshelve
2247,Neutral,people work toilet paper coronavirus toiletpaper
2248,Extremely Positive,"toilet paper ahhh 

 filipino long rice good 

 thankfully rice come huge bag asian grocery store lol month"
2249,Negative,"  clancyneil hahahaha 

 panic spread covid cripple dysfunctional healthcare 

 trainee solace fact hungry long come work pilfer food ms x canât stand consciency app"
2250,Positive,  asktarget coronavirus covid testing select retail location people test parking lot find positive entire store shut exposure guest s answer question
2251,Negative,panic city amid partial lockdown govt shut theatre gyms swimming pool citizen throng store supermarket stock food essential
2252,Extremely Negative,light coronavirus panic think speak awesome humanity see today go grocery store pick minor thing course store drain fight argument fact
2253,Extremely Negative,instead hear selfish panicked terrible human behavior weâve see lately grocery store outing observation post see helpful community coronavirus
2254,Neutral,satureday morning lineup wait grocery store open doomsdayprepper crazy watch instavideo
2255,Neutral,"need want follow trend 
  coronavirus coronavirusuk cobrameete manylovedoneswilldie panicbuye toiletpaper supermarket trendy london unitedkingdom"
2256,Negative,shake head frustration tweet like haven t hear online shopping mean yes think factory floor worker covid immunity amazon fulfillment center fill people isolate virus
2257,Negative,"buy need survive like food medicine donât need economy stock market 

 reason greedy people play monopoly 

  coronavirus coronaoutbreak maralagovirus coronial covid"
2258,Positive,"yesterday get word dad test positive hospitalise tehran iran 

 country bring economic knee result sanction face global pandemic access basic drug equipment"
2259,Extremely Positive,stop shame folk stock food personal care product face clear doesn t care win t help protect family way s tiny bit mastery control terrifying time
2260,Negative,tesco s y day note huge collection food bank fb relieve tho despair fbs need worry ppl low income stock provision prep self isolation need store cupboard
